cid	kmname	str
82	mrn	patient medical record number
82	mrn	mr num
82	mrn	mr#
82	mrn	mr
82	mrn	mrn
83	gravida	gravida
83	gravida	g
83	gravida	gravida
84	para	p
84	para	para
84	para	para
85	clinic	clinic
85	clinic	clinic
86	room	room no
86	room	room number
86	room	bed number
86	room	room
86	room	room
87	unit	unit number
87	unit	unit no
87	unit	bed/unit
87	unit	bed unit
87	unit	unit
87	unit	unit
88	ssn	ssn
88	ssn	social security number
88	ssn	ssn
89	case_number	case
89	case_number	case number
89	case_number	Case #
89	case_number	case
89	case_number	case_number
89	case_number	case no
90	admission_date	admission_date
90	admission_date	admission date
91	service	admitting service
91	service	admit service
91	service	service
91	service	service
91	service	medical service
92	admitting_attending	admitting attending
92	admitting_attending	admit attending
92	admitting_attending	admitting_attending
92	admitting_attending	ATTENDING THORACIC SURGEON
92	admitting_attending	attending thoracic surgeon
93	consultation_attending	consultation_attending
93	consultation_attending	consultation attending
94	date_time	date_time
94	date_time	date & time
94	date_time	date time
94	date_time	date time
94	date_time	date and time
94	date_time	date time
95	date	date
95	date	date
96	date_of_birth	birthdate
96	date_of_birth	dob
96	date_of_birth	date of birth
96	date_of_birth	date birth
96	date_of_birth	birth date
96	date_of_birth	date_of_birth
97	date_of_discharge	date_of_discharge
97	date_of_discharge	date of discharge
97	date_of_discharge	date discharge
97	date_of_discharge	discharged
97	date_of_discharge	discharge
97	date_of_discharge	discharge date
97	date_of_discharge	Discharge patient on
98	date_of_death	date_of_death
98	date_of_death	date of death
98	date_of_death	date death
99	date_of_injury	date of injury
99	date_of_injury	date injury
99	date_of_injury	date_of_injury
100	date_of_surgery	date of surgery
100	date_of_surgery	date surgery
100	date_of_surgery	date_of_surgery
101	date_of_examination	date of exam
101	date_of_examination	date exam
101	date_of_examination	date of evaluation
101	date_of_examination	date evaluation
101	date_of_examination	date of examination
101	date_of_examination	date examination
101	date_of_examination	date_of_examination
102	date_of_autopsy	date_of_autopsy
102	date_of_autopsy	date of autopsy
102	date_of_autopsy	date autopsy
103	date_of_procedure	date of procedure
103	date_of_procedure	date procedure
103	date_of_procedure	procedure date
103	date_of_procedure	date_of_procedure
104	date_of_request	date of request
104	date_of_request	date request
104	date_of_request	date_of_request
105	date_of_service	visit date
105	date_of_service	date of service
105	date_of_service	date service
105	date_of_service	date_of_service
106	date_of_admission	date of admission
106	date_of_admission	date admission
106	date_of_admission	admission date
106	date_of_admission	date_of_admission
106	date_of_admission	admitted
107	report_date	report date
107	report_date	report_date
108	duration_of_recording	duration_of_recording
108	duration_of_recording	duration of recording
108	duration_of_recording	duration recording
109	due_date	due_date
109	due_date	due date
110	estimated_due_date	edc
110	estimated_due_date	edod
110	estimated_due_date	estimated due date
110	estimated_due_date	estimate due date
110	estimated_due_date	estimated_due_date
110	estimated_due_date	edd
111	final_due_date	final edc
111	final_due_date	final_due_date
111	final_due_date	final due date
112	conception_date	estimated date of conception
112	conception_date	estimate date of conception
112	conception_date	estimate date conception
112	conception_date	conception date
112	conception_date	conception_date
112	conception_date	date of conception
112	conception_date	date conception
113	date_dictated	date_dictated
113	date_dictated	D
113	date_dictated	d
113	date_dictated	date dictated
113	date_dictated	date dictate
113	date_dictated	DD
113	date_dictated	dd
114	date_transcribed	DT
114	date_transcribed	dt
114	date_transcribed	date transcribed
114	date_transcribed	date transcribe
114	date_transcribed	date_transcribed
114	date_transcribed	T
114	date_transcribed	t
115	time	time
115	time	time
116	time_of_arrival	time of arrival
116	time_of_arrival	time arrival
116	time_of_arrival	time_of_arrival
117	time_of_injury	time_of_injury
117	time_of_injury	time of injury
117	time_of_injury	time injury
118	time_of_birth	time of birth
118	time_of_birth	time birth
118	time_of_birth	birth time
118	time_of_birth	time_of_birth
119	patient_summary	patient summary
119	patient_summary	patient_summary
120	identifying_information	identifying information
120	identifying_information	identify information
120	identifying_information	patient info
120	identifying_information	patient identification
120	identifying_information	identification
120	identifying_information	identifying data
120	identifying_information	identify data
120	identifying_information	identifying_information
121	code_status	code
121	code_status	code_status
121	code_status	code status
122	advanced_directives	living will
122	advanced_directives	live will
122	advanced_directives	advanced_directives
122	advanced_directives	advanced directives
123	condition	condition
123	condition	condition
124	admission_condition	admission condition
124	admission_condition	condition at admission
124	admission_condition	condition admission
124	admission_condition	admission_condition
124	admission_condition	condition on admission
124	admission_condition	condition admission
125	discharge_condition	condition on discharge
125	discharge_condition	condition discharge
125	discharge_condition	discharge condition
125	discharge_condition	discharge_condition
125	discharge_condition	condition at discharge
125	discharge_condition	condition discharge
126	diagnoses	diagnosis
126	diagnoses	diagnoses
126	diagnoses	diagnosis
126	diagnoses	diagnoses
127	principle_diagnosis	principle diagnoses
127	principle_diagnosis	principle diagnosis
127	principle_diagnosis	principal diagnoses
127	principle_diagnosis	principal diagnosis
127	principle_diagnosis	primary diagnoses
127	principle_diagnosis	primary diagnosis
127	principle_diagnosis	main diagnosis
127	principle_diagnosis	principle_diagnosis
127	principle_diagnosis	principle diagnosis
127	principle_diagnosis	principal diagnosis
128	secondary_diagnoses	other diagnosis
128	secondary_diagnoses	secondary diagnoses
128	secondary_diagnoses	secondary diagnosis
128	secondary_diagnoses	secondary diagnosis
128	secondary_diagnoses	secondary_diagnoses
128	secondary_diagnoses	seconary diagnoses
128	secondary_diagnoses	seconary diagnosis
128	secondary_diagnoses	seconary diagnosis
128	secondary_diagnoses	other diagnoses
128	secondary_diagnoses	other diagnose
128	secondary_diagnoses	additional diagnoses
128	secondary_diagnoses	ASSOCIATED DIAGNOSES
128	secondary_diagnoses	associate diagnose
128	secondary_diagnoses	additional diagnosis
129	diagnosis_at_death	cause of death
129	diagnosis_at_death	cause death
129	diagnosis_at_death	diagnosis_at_death
129	diagnosis_at_death	diagnosis at death
129	diagnosis_at_death	diagnosis death
130	other_diagnosis	other diagnosis
130	other_diagnosis	other_diagnosis
131	cytologic_diagnosis	cytologic_diagnosis
131	cytologic_diagnosis	cytologic diagnosis
132	admission_diagnosis	admission diagnoses
132	admission_diagnosis	admission diagnosis
132	admission_diagnosis	admission diagnosis
132	admission_diagnosis	admitting diagnoses
132	admission_diagnosis	admit diagnosis
132	admission_diagnosis	admission_diagnosis
132	admission_diagnosis	admitting diagnosis
132	admission_diagnosis	admit diagnosis
132	admission_diagnosis	admit diagnoses
132	admission_diagnosis	admit diagnosis
133	discharge_diagnosis	discharge diagnoses
133	discharge_diagnosis	discharge diagnosis
133	discharge_diagnosis	discharge diagnosis
133	discharge_diagnosis	discharge_diagnosis
133	discharge_diagnosis	discharge diagnoses and disposition
133	discharge_diagnosis	discharge diagnosis and disposition
133	discharge_diagnosis	discharge diagnosis disposition
134	postprocedure_diagnosis	postprocedure diagnosis
134	postprocedure_diagnosis	postprocedure_diagnosis
134	postprocedure_diagnosis	postoperative diagnoses
134	postprocedure_diagnosis	postoperative diagnosis
134	postprocedure_diagnosis	postoperative diagnosis
135	preprocedure_diagnosis	preprocedure diagnosis
135	preprocedure_diagnosis	preoperative diagnosis
135	preprocedure_diagnosis	preprocedure_diagnosis
135	preprocedure_diagnosis	preoperative diagnoses
135	preprocedure_diagnosis	preoperative diagnosis
136	final_diagnosis	final diagnose
136	final_diagnosis	final_diagnosis
136	final_diagnosis	final diagnosis
136	final_diagnosis	final diagnoses
136	final_diagnosis	final diagnosis
136	final_diagnosis	final impression
137	psychiatric_diagnostic_classifications	psychiatric_diagnostic_classifications
137	psychiatric_diagnostic_classifications	psychiatric diagnostic classifications
137	psychiatric_diagnostic_classifications	psychiatric diagnostic classification
138	axis_i	axis i
138	axis_i	axis_i
139	axis_ii	axis_ii
139	axis_ii	axis ii
140	axis_iii	axis iii
140	axis_iii	axis_iii
141	axis_iv	axis_iv
141	axis_iv	axis iv
142	axis_v	axis_v
142	axis_v	axis v
143	global_assessment_functioning	global assessment of functioning
143	global_assessment_functioning	global assessment of function
143	global_assessment_functioning	global assessment function
143	global_assessment_functioning	global assessment functioning
143	global_assessment_functioning	global assessment function
143	global_assessment_functioning	global_assessment_functioning
143	global_assessment_functioning	gaf
144	current_gaf	current_gaf
144	current_gaf	current gaf
145	past_year_gaf	past year gaf
145	past_year_gaf	past_year_gaf
146	procedures	procedures
146	procedures	procedure
146	procedures	procedural
146	procedures	procedure
146	procedures	procedures performed during the hospitalization
146	procedures	procedure perform during the hospitalization
146	procedures	procedure perform during hospitalization
146	procedures	procedure performed
146	procedures	procedure perform
146	procedures	procedures
147	secondary_procedures	secondary procedure
147	secondary_procedures	secondary_procedures
147	secondary_procedures	seconary procedure
147	secondary_procedures	other procedure
147	secondary_procedures	secondary procedures
147	secondary_procedures	secondary procedure
147	secondary_procedures	seconary procedures
147	secondary_procedures	seconary procedure
148	principal_procedures	primary procedure
148	principal_procedures	principal procedures
148	principal_procedures	principal procedure
148	principal_procedures	principal_procedures
148	principal_procedures	primary procedures
148	principal_procedures	primary procedure
148	principal_procedures	principal procedure
149	surgical_procedures	surgical procedures
149	surgical_procedures	surgical procedure
149	surgical_procedures	surgical_procedures
149	surgical_procedures	surgical
149	surgical_procedures	operations/procedures
149	surgical_procedures	operation procedure
149	surgical_procedures	operation performed
149	surgical_procedures	operation perform
149	surgical_procedures	operative procedure
149	surgical_procedures	operation
149	surgical_procedures	operations and procedures
149	surgical_procedures	operation and procedure
149	surgical_procedures	operation procedure
150	diet	diet
150	diet	feeding and dietary status
150	diet	feeding dietary status
150	diet	nutrition
150	diet	dietary
150	diet	eating habits
150	diet	eat habit
150	diet	diet
151	discharge_diet	diet at discharge
151	discharge_diet	diet discharge
151	discharge_diet	diet on discharge
151	discharge_diet	diet discharge
151	discharge_diet	discharge diet
151	discharge_diet	discharge_diet
152	birth_history	birth data
152	birth_history	birth_history
152	birth_history	birth history
153	birth_weight	birth_weight
153	birth_weight	birth wt
153	birth_weight	bw
153	birth_weight	birth weight
154	birth_length	birth length
154	birth_length	length
154	birth_length	birth_length
155	birth_headcircumference	head circ at birth
155	birth_headcircumference	head circ birth
155	birth_headcircumference	birth headcircumference
155	birth_headcircumference	birth_headcircumference
155	birth_headcircumference	birth head circumference
156	chief_complaint	identifying data/chief complaint
156	chief_complaint	identify data chief complaint
156	chief_complaint	reason for admission
156	chief_complaint	reason admission
156	chief_complaint	chief_complaint
156	chief_complaint	chief concern
156	chief_complaint	reason for hospitalization
156	chief_complaint	reason hospitalization
156	chief_complaint	id/cc
156	chief_complaint	id cc
156	chief_complaint	reason for visit
156	chief_complaint	reason visit
156	chief_complaint	cc
156	chief_complaint	here for a chief complaint of
156	chief_complaint	here a chief complaint
156	chief_complaint	identification/chief complaint
156	chief_complaint	identification chief complaint
156	chief_complaint	identification and chief complaint
156	chief_complaint	identification chief complaint
156	chief_complaint	chief complaint
156	chief_complaint	reason for admission and consultation
156	chief_complaint	reason admission consultation
156	chief_complaint	reason for admission/chief complaint
156	chief_complaint	reason for admission chief complaint
156	chief_complaint	reason admission chief complaint
156	chief_complaint	identifying data/chief complaint
156	chief_complaint	identify data chief complaint
156	chief_complaint	reason for admission
156	chief_complaint	reason admission
156	chief_complaint	chief_complaint
156	chief_complaint	chief concern
156	chief_complaint	reason for hospitalization
156	chief_complaint	reason hospitalization
156	chief_complaint	id/cc
156	chief_complaint	id cc
156	chief_complaint	reason for visit
156	chief_complaint	reason visit
156	chief_complaint	cc
156	chief_complaint	here for a chief complaint of
156	chief_complaint	here a chief complaint
156	chief_complaint	identification/chief complaint
156	chief_complaint	identification chief complaint
156	chief_complaint	identification and chief complaint
156	chief_complaint	identification chief complaint
156	chief_complaint	chief complaint
156	chief_complaint	reason for admission and consultation
156	chief_complaint	reason admission consultation
156	chief_complaint	reason for admission/chief complaint
156	chief_complaint	reason for admission chief complaint
156	chief_complaint	reason admission chief complaint
157	reason_for_consult	reason for consultation
157	reason_for_consult	reason consultation
157	reason_for_consult	Reason for consult/questions
157	reason_for_consult	reason for consult question
157	reason_for_consult	reason consult question
157	reason_for_consult	reason_for_consult
157	reason_for_consult	reason for referral
157	reason_for_consult	reason referral
157	reason_for_consult	reason for consult
157	reason_for_consult	reason consult
158	history_present_illness	hpi/interval history
158	history_present_illness	hpi interval history
158	history_present_illness	patient hpi
158	history_present_illness	summary of present illness
158	history_present_illness	summary present illness
158	history_present_illness	history/physical examination
158	history_present_illness	history physical examination
158	history_present_illness	clinical history
158	history_present_illness	present illness
158	history_present_illness	indication
158	history_present_illness	hpi
158	history_present_illness	in clinical history
158	history_present_illness	clinical history
158	history_present_illness	clinical history/indications
158	history_present_illness	clinical history indication
158	history_present_illness	issues briefly as following
158	history_present_illness	issue briefly as following
158	history_present_illness	history
158	history_present_illness	current medical problems
158	history_present_illness	current medical problem
158	history_present_illness	indications
158	history_present_illness	indication
158	history_present_illness	patient history
158	history_present_illness	history of chronic illness
158	history_present_illness	history chronic illness
158	history_present_illness	clinical presentation
158	history_present_illness	history of present illness
158	history_present_illness	history present illness
158	history_present_illness	issues briefly as follows
158	history_present_illness	issue briefly as follow
158	history_present_illness	clinical indication
158	history_present_illness	history_present_illness
158	history_present_illness	history of the present illness
158	history_present_illness	history present illness
158	history_present_illness	interval history
158	history_present_illness	history present illness
158	history_present_illness	hpi/interval history
158	history_present_illness	hpi interval history
158	history_present_illness	patient hpi
158	history_present_illness	summary of present illness
158	history_present_illness	summary present illness
158	history_present_illness	history/physical examination
158	history_present_illness	history physical examination
158	history_present_illness	clinical history
158	history_present_illness	present illness
158	history_present_illness	indication
158	history_present_illness	hpi
158	history_present_illness	in clinical history
158	history_present_illness	clinical history
158	history_present_illness	clinical history/indications
158	history_present_illness	clinical history indication
158	history_present_illness	issues briefly as following
158	history_present_illness	issue briefly as following
158	history_present_illness	history
158	history_present_illness	current medical problems
158	history_present_illness	current medical problem
158	history_present_illness	indications
158	history_present_illness	indication
158	history_present_illness	patient history
158	history_present_illness	history of chronic illness
158	history_present_illness	history chronic illness
158	history_present_illness	clinical presentation
158	history_present_illness	history of present illness
158	history_present_illness	history present illness
158	history_present_illness	issues briefly as follows
158	history_present_illness	issue briefly as follow
158	history_present_illness	clinical indication
158	history_present_illness	history_present_illness
158	history_present_illness	history of the present illness
158	history_present_illness	history present illness
158	history_present_illness	interval history
158	history_present_illness	history present illness
159	subjective	s
159	subjective	subjective
159	subjective	subjective
160	history_of_exposure	history_of_exposure
160	history_of_exposure	history of exposure
160	history_of_exposure	history exposure
161	brief_history	brief_history
161	brief_history	brief history
162	current_pregnancy	current pregnancy
162	current_pregnancy	current_pregnancy
163	other_issues	other_issues
163	other_issues	other issues
163	other_issues	other issue
164	pertinent_clinical_findings	pertinent clinical findings
164	pertinent_clinical_findings	pertinent clinical finding
164	pertinent_clinical_findings	pertinent_clinical_findings
165	pain_history	pain history
165	pain_history	pain_history
166	pain_temporal_pattern	pain_temporal_pattern
166	pain_temporal_pattern	pain temporal pattern
167	pain_alleviating_factors	pain_alleviating_factors
167	pain_alleviating_factors	pain alleviating factors
167	pain_alleviating_factors	pain alleviate factor
168	pain_initiating_event	pain initiating event
168	pain_initiating_event	pain initiate event
168	pain_initiating_event	pain_initiating_event
169	reason_for_study	reason for exam
169	reason_for_study	reason exam
169	reason_for_study	indications for procedure
169	reason_for_study	indication for procedure
169	reason_for_study	indication procedure
169	reason_for_study	reason_for_study
169	reason_for_study	reason for study
169	reason_for_study	reason study
169	reason_for_study	purpose of study
169	reason_for_study	purpose study
169	reason_for_study	indication for surgery
170	risk_factors	risk factors
170	risk_factors	risk factor
170	risk_factors	risk_factors
171	cardiac_risk_factors	cardiac risk factors
171	cardiac_risk_factors	cardiac risk factor
171	cardiac_risk_factors	cardiac_risk_factors
171	cardiac_risk_factors	coronary risk factors
171	cardiac_risk_factors	coronary risk factor
171	cardiac_risk_factors	cardiac risk
171	cardiac_risk_factors	coronary artery disease risk factors
171	cardiac_risk_factors	coronary artery disease risk factor
172	gi_risk_factors	gi_risk_factors
172	gi_risk_factors	gi risk
172	gi_risk_factors	gi risk factors
172	gi_risk_factors	gi risk factor
173	cancer_risk_factors	cancer risk factors
173	cancer_risk_factors	cancer risk factor
173	cancer_risk_factors	cancer risk
173	cancer_risk_factors	cancer_risk_factors
174	derm_risk_factors	derm_risk_factors
174	derm_risk_factors	derm risk factors
174	derm_risk_factors	derm risk factor
174	derm_risk_factors	derm risk
175	neurological_risk_factors	neurological_risk_factors
175	neurological_risk_factors	neurological risk factors
175	neurological_risk_factors	neurological risk factor
175	neurological_risk_factors	neurological risk
176	cerebral_vascular_risk_factors	cerebral vascular risk
176	cerebral_vascular_risk_factors	cerebral_vascular_risk_factors
176	cerebral_vascular_risk_factors	cerebral vascular risk factors
176	cerebral_vascular_risk_factors	cerebral vascular risk factor
176	cerebral_vascular_risk_factors	stroke risk factors
176	cerebral_vascular_risk_factors	stroke risk factor
177	epilepsy_risk_factors	epilepsy risk factors
177	epilepsy_risk_factors	epilepsy risk factor
177	epilepsy_risk_factors	epilepsy risk
177	epilepsy_risk_factors	seizure risk factors
177	epilepsy_risk_factors	seizure risk factor
177	epilepsy_risk_factors	epilepsy_risk_factors
178	congenital_risk_factors	congenital_risk_factors
178	congenital_risk_factors	congenital risk
178	congenital_risk_factors	congenital risk factors
178	congenital_risk_factors	congenital risk factor
179	pulmonary_risk_factors	pulmonary risk factors
179	pulmonary_risk_factors	pulmonary risk factor
179	pulmonary_risk_factors	pulmonary_risk_factors
179	pulmonary_risk_factors	pulmonary risk
180	trauma_risk_factors	trauma risk
180	trauma_risk_factors	trauma risk factors
180	trauma_risk_factors	trauma risk factor
180	trauma_risk_factors	trauma_risk_factors
181	abuse_risk_factors	abuse risk
181	abuse_risk_factors	abuse risk factors
181	abuse_risk_factors	abuse risk factor
181	abuse_risk_factors	abuse_risk_factors
182	psychological_risk_factors	psychiatric risk factors
182	psychological_risk_factors	psychiatric risk factor
182	psychological_risk_factors	psychological risk factors
182	psychological_risk_factors	psychological risk factor
182	psychological_risk_factors	psychological risk
182	psychological_risk_factors	psychological_risk_factors
182	psychological_risk_factors	Psychosocial risks
182	psychological_risk_factors	psychosocial risk
183	home_risk_factors	home risk
183	home_risk_factors	home_risk_factors
183	home_risk_factors	home risk factors
183	home_risk_factors	home risk factor
183	home_risk_factors	Important problems in home life
183	home_risk_factors	important problem in home life
183	home_risk_factors	important problem home life
184	work_risk_factors	work risk factors
184	work_risk_factors	work risk factor
184	work_risk_factors	Personal problems in patients work life
184	work_risk_factors	personal problem in patient work life
184	work_risk_factors	personal problem patient work life
184	work_risk_factors	work risk
184	work_risk_factors	work_risk_factors
185	changes_to_admission_note	addition or correction to the admission note
185	changes_to_admission_note	addition correction admission note
185	changes_to_admission_note	changes_to_admission_note
185	changes_to_admission_note	additions and corrections to admission note
185	changes_to_admission_note	addition and correction to admission note
185	changes_to_admission_note	addition correction admission note
